window_time,motion_percentage_th,session_id,accuracy,TP,TN,FP,FN,Accuracy
6,8,387,,16,85,149,0,0.404
6,8,388,,51,87,114,2,0.5433070866141733
6,8,389,,48,66,86,13,0.5352112676056338
6,8,390,,148,34,27,0,0.8708133971291866
6,8,391,,157,29,51,4,0.7717842323651453
6,8,392,,75,74,117,2,0.5559701492537313
6,8,408,,40,28,32,11,0.6126126126126126
6,8,428,,103,58,113,2,0.5833333333333334
6,8,429,,75,76,48,10,0.722488038277512
6,8,430,,49,62,119,2,0.47844827586206895
6,8,432,,46,56,46,25,0.5895953757225434
6,8,433,,36,131,34,20,0.755656108597285
6,8,434,,39,52,55,0,0.6232876712328768
6,8,435,,38,90,22,13,0.7852760736196319
6,8,436,,61,133,46,3,0.7983539094650206
6,10,379,,45,22,32,7,0.6320754716981132
6,10,380,,32,56,66,7,0.546583850931677
6,10,381,,17,40,13,5,0.76
6,10,382,,42,133,23,38,0.7415254237288136
6,10,384,,62,121,27,12,0.8243243243243243
6,10,385,,78,81,9,6,0.9137931034482759
6,10,386,,27,116,132,3,0.5143884892086331
6,10,387,,15,127,107,1,0.568
6,10,388,,47,117,84,6,0.6456692913385826
6,10,389,,47,87,65,14,0.6291079812206573
6,10,390,,147,34,27,1,0.8660287081339713
6,10,391,,157,44,36,4,0.8340248962655602
6,10,392,,75,90,101,2,0.6156716417910447
6,10,408,,37,33,27,14,0.6306306306306306
6,10,428,,99,69,102,6,0.6086956521739131
6,10,429,,72,81,43,13,0.7320574162679426
6,10,430,,49,78,103,2,0.5474137931034483
6,10,432,,42,75,27,29,0.6763005780346821
6,10,433,,33,141,24,23,0.7873303167420814
6,10,434,,37,59,48,2,0.6575342465753424
6,10,435,,37,93,19,14,0.7975460122699386
6,10,436,,54,141,38,10,0.8024691358024691
6,12,379,,44,27,27,8,0.6698113207547169
6,12,380,,28,62,60,11,0.5590062111801242
6,12,381,,17,44,9,5,0.8133333333333334
6,12,382,,39,135,21,41,0.7372881355932204
6,12,384,,61,127,21,13,0.8468468468468469
6,12,385,,78,81,9,6,0.9137931034482759
6,12,386,,27,138,110,3,0.5935251798561151
6,12,387,,15,157,77,1,0.688
6,12,388,,45,141,60,8,0.7322834645669292
6,12,389,,43,101,51,18,0.676056338028169
6,12,390,,147,38,23,1,0.8851674641148325
6,12,391,,156,44,36,5,0.8298755186721992
6,12,392,,75,106,85,2,0.6753731343283582
6,12,408,,35,37,23,16,0.6486486486486487
6,12,428,,95,78,93,10,0.6268115942028986
6,12,429,,69,86,38,16,0.7416267942583732
6,12,430,,42,81,100,9,0.5301724137931034
6,12,432,,32,78,24,39,0.6358381502890174
6,12,433,,27,146,19,29,0.7828054298642534
6,12,434,,37,61,46,2,0.6712328767123288
6,12,435,,35,102,10,16,0.8404907975460123
6,12,436,,49,146,33,15,0.8024691358024691
6,14,379,,37,29,25,15,0.6226415094339622
6,14,380,,23,68,54,16,0.5652173913043478
6,14,381,,17,44,9,5,0.8133333333333334
6,14,382,,39,135,21,41,0.7372881355932204
6,14,384,,59,131,17,15,0.8558558558558559
6,14,385,,78,82,8,6,0.9195402298850575
6,14,386,,25,148,100,5,0.6223021582733813
6,14,387,,15,180,54,1,0.78
6,14,388,,42,150,51,11,0.7559055118110236
6,14,389,,42,112,40,19,0.7230046948356808
6,14,390,,147,38,23,1,0.8851674641148325
6,14,391,,155,49,31,6,0.8464730290456431
6,14,392,,73,116,75,4,0.7052238805970149
6,14,408,,31,40,20,20,0.6396396396396397
6,14,428,,95,94,77,10,0.6847826086956522
6,14,429,,62,94,30,23,0.7464114832535885
6,14,430,,42,90,91,9,0.5689655172413793
6,14,432,,27,79,23,44,0.6127167630057804
6,14,433,,22,147,18,34,0.7647058823529411
6,14,434,,37,71,36,2,0.7397260273972602
6,14,435,,32,104,8,19,0.8343558282208589
6,14,436,,49,149,30,15,0.8148148148148148
6,16,379,,35,33,21,17,0.6415094339622641
6,16,380,,15,74,48,24,0.5527950310559007
6,16,381,,13,47,6,9,0.8
6,16,382,,36,135,21,44,0.7245762711864406
6,16,384,,56,134,14,18,0.8558558558558559
6,16,385,,75,85,5,9,0.9195402298850575
6,16,386,,25,169,79,5,0.697841726618705
6,16,387,,15,203,31,1,0.872
6,16,388,,40,162,39,13,0.7952755905511811
6,16,389,,30,136,16,31,0.7793427230046949
6,16,390,,143,45,16,5,0.8995215311004785
6,16,391,,154,57,23,7,0.8755186721991701
6,16,392,,67,137,54,10,0.7611940298507462
6,16,408,,29,44,16,22,0.6576576576576577
6,16,428,,88,111,60,17,0.7210144927536232
6,16,429,,59,101,23,26,0.7655502392344498
6,16,430,,42,96,85,9,0.5948275862068966
6,16,432,,27,81,21,44,0.6242774566473989
6,16,433,,22,153,12,34,0.7918552036199095
6,16,434,,34,73,34,5,0.7328767123287672
6,16,435,,20,106,6,31,0.7730061349693251
6,16,436,,42,165,14,22,0.8518518518518519
6,18,379,,35,39,15,17,0.6981132075471698
6,18,380,,15,81,41,24,0.5962732919254659
6,18,381,,13,50,3,9,0.84
6,18,382,,33,140,16,47,0.7330508474576272
6,18,384,,54,136,12,20,0.8558558558558559
6,18,385,,71,85,5,13,0.896551724137931
6,18,386,,17,185,63,13,0.7266187050359713
6,18,387,,14,208,26,2,0.888
6,18,388,,39,168,33,14,0.8149606299212598
6,18,389,,28,142,10,33,0.7981220657276995
6,18,390,,143,52,9,5,0.9330143540669856
6,18,391,,154,58,22,7,0.8796680497925311
6,18,392,,66,146,45,11,0.7910447761194029
6,18,408,,28,48,12,23,0.6846846846846847
6,18,428,,84,129,42,21,0.7717391304347826
6,18,429,,57,108,16,28,0.7894736842105263
6,18,430,,36,110,71,15,0.6293103448275862
6,18,432,,18,84,18,53,0.5895953757225434
6,18,433,,19,155,10,37,0.7873303167420814
6,18,434,,33,78,29,6,0.7602739726027398
6,18,435,,20,106,6,31,0.7730061349693251
6,18,436,,30,173,6,34,0.8353909465020576
6,20,379,,30,41,13,22,0.6698113207547169
6,20,380,,11,85,37,28,0.5962732919254659
6,20,381,,13,50,3,9,0.84
6,20,382,,28,141,15,52,0.7161016949152542
6,20,384,,51,136,12,23,0.8423423423423423
6,20,385,,67,85,5,17,0.8735632183908046
6,20,386,,17,201,47,13,0.7841726618705036
6,20,387,,14,211,23,2,0.9
6,20,388,,36,177,24,17,0.8385826771653543
6,20,389,,26,144,8,35,0.7981220657276995
6,20,390,,143,52,9,5,0.9330143540669856
6,20,391,,150,63,17,11,0.8838174273858921
6,20,392,,65,154,37,12,0.8171641791044776
6,20,408,,28,52,8,23,0.7207207207207207
6,20,428,,76,134,37,29,0.7608695652173914
6,20,429,,56,115,9,29,0.8181818181818182
6,20,430,,29,126,55,22,0.6681034482758621
6,20,432,,17,88,14,54,0.6069364161849711
6,20,433,,18,158,7,38,0.7963800904977375
6,20,434,,26,85,22,13,0.7602739726027398
6,20,435,,13,107,5,38,0.7361963190184049
6,20,436,,30,174,5,34,0.8395061728395061
6,22,379,,25,44,10,27,0.6509433962264151
6,22,380,,8,89,33,31,0.6024844720496895
6,22,381,,13,51,2,9,0.8533333333333334
6,22,382,,22,142,14,58,0.6949152542372882
6,22,384,,50,138,10,24,0.8468468468468469
